iter	MAE	RMSE
586	0.3592410144	0.4896545739
587	0.3591271946	0.4895296121
588	0.358996252	0.4893478348
589	0.358884846	0.489134597
590	0.3588186596	0.4890427592
591	0.3587825039	0.4889699085
592	0.3587731495	0.4889631397
593	0.3586591752	0.4887762594
594	0.3584762749	0.4885274961
595	0.3583055283	0.4883565321
596	0.358286866	0.4882867211
597	0.3581997798	0.4881506481
598	0.3579258523	0.4879342132
599	0.3577364721	0.4877263879
600	0.3576883898	0.4876888485
601	0.3575691632	0.4875368689
602	0.3574629233	0.4874074754
603	0.357319305	0.4872588896
604	0.3572397433	0.4871064096
605	0.357181434	0.4870128368
606	0.357093074	0.4869014958
607	0.3570760653	0.4868772177
608	0.357022277	0.4867905794
609	0.3568864347	0.486660304
610	0.3568182201	0.486542443
611	0.3566958132	0.486389466
612	0.3565929549	0.4862374611
613	0.3565273458	0.4861397177
614	0.3564322338	0.4860202558
615	0.3562987899	0.4858590684
616	0.3561811352	0.4857432732
617	0.356088773	0.4856013713
618	0.3560377975	0.4854621219
619	0.3559282075	0.4853579539
620	0.355784215	0.4852148969
621	0.3557151359	0.4850969575
622	0.3556248712	0.4849745359
623	0.3555709465	0.484914641
624	0.3554439177	0.4847463824
625	0.3554082414	0.4847330493
626	0.3553780327	0.484669564
627	0.3553034966	0.4845506577
628	0.3552319359	0.4844512723
629	0.3550820558	0.4842904192
630	0.3549316463	0.4841663284
631	0.3548843888	0.4841074822
632	0.3547837532	0.4840231735
633	0.3547536653	0.4839596988
634	0.3546765301	0.4838530233
635	0.354577702	0.483782276
636	0.3545038561	0.4836690754
637	0.354449172	0.4835488025
638	0.3543004616	0.4834057757
639	0.3542464429	0.4833221535
640	0.3541541188	0.4832629688
641	0.3539922156	0.4831037002
642	0.3539165823	0.4830427196
643	0.3538510087	0.482980005
644	0.3538432485	0.4829709951
645	0.3536755302	0.4827804063
646	0.3536715526	0.4827785443
647	0.3535625326	0.4826691124
648	0.353479204	0.482576829
649	0.3534322833	0.4825336482
